year,year_annotation,race,race_annotation,number,income,percent
2017,NA,ASIAN ALONE OR IN COMBINATION,NA,7114,200 000 and over,15.6
2016,NA,ASIAN ALONE OR IN COMBINATION,NA,6750,under 15 000,8.7
2016,NA,ASIAN ALONE OR IN COMBINATION,NA,6750,15 000 to 24 999,6.1
2016,NA,ASIAN ALONE OR IN COMBINATION,NA,6750,25 000 to 34 999,6.2
2016,NA,ASIAN ALONE OR IN COMBINATION,NA,6750,35 000 to 49 999,7.8
2016,NA,ASIAN ALONE OR IN COMBINATION,NA,6750,50 000 to 74 999,14.9
2016,NA,ASIAN ALONE OR IN COMBINATION,NA,6750,75 000 to 99 999,13.3
2016,NA,ASIAN ALONE OR IN COMBINATION,NA,6750,100 000 to 149 999,16.9
2016,NA,ASIAN ALONE OR IN COMBINATION,NA,6750,150 000 to 199 999,12
2016,NA,ASIAN ALONE OR IN COMBINATION,NA,6750,200 000 and over,14
2015,NA,ASIAN ALONE OR IN COMBINATION,NA,6640,under 15 000,9.3
2015,NA,ASIAN ALONE OR IN COMBINATION,NA,6640,15 000 to 24 999,6.5
2015,NA,ASIAN ALONE OR IN COMBINATION,NA,6640,25 000 to 34 999,6
2015,NA,ASIAN ALONE OR IN COMBINATION,NA,6640,35 000 to 49 999,9.1
2015,NA,ASIAN ALONE OR IN COMBINATION,NA,6640,50 000 to 74 999,15
2015,NA,ASIAN ALONE OR IN COMBINATION,NA,6640,75 000 to 99 999,12
2015,NA,ASIAN ALONE OR IN COMBINATION,NA,6640,100 000 to 149 999,16.9
2015,NA,ASIAN ALONE OR IN COMBINATION,NA,6640,150 000 to 199 999,11.1
2015,NA,ASIAN ALONE OR IN COMBINATION,NA,6640,200 000 and over,14.1
2014,NA,ASIAN ALONE OR IN COMBINATION,NA,6333,under 15 000,9.3
2014,NA,ASIAN ALONE OR IN COMBINATION,NA,6333,15 000 to 24 999,6.5
2014,NA,ASIAN ALONE OR IN COMBINATION,NA,6333,25 000 to 34 999,7.4
2014,NA,ASIAN ALONE OR IN COMBINATION,NA,6333,35 000 to 49 999,9.2
2014,NA,ASIAN ALONE OR IN COMBINATION,NA,6333,50 000 to 74 999,14.3
2014,NA,ASIAN ALONE OR IN COMBINATION,NA,6333,75 000 to 99 999,12.9
2014,NA,ASIAN ALONE OR IN COMBINATION,NA,6333,100 000 to 149 999,17.6
2014,NA,ASIAN ALONE OR IN COMBINATION,NA,6333,150 000 to 199 999,11.3
2014,NA,ASIAN ALONE OR IN COMBINATION,NA,6333,200 000 and over,11.5
2013,3,ASIAN ALONE OR IN COMBINATION,NA,6160,under 15 000,9.7
2013,3,ASIAN ALONE OR IN COMBINATION,NA,6160,15 000 to 24 999,7.2
2013,3,ASIAN ALONE OR IN COMBINATION,NA,6160,25 000 to 34 999,5.3
2013,3,ASIAN ALONE OR IN COMBINATION,NA,6160,35 000 to 49 999,9.9
2013,3,ASIAN ALONE OR IN COMBINATION,NA,6160,50 000 to 74 999,15.1
2013,3,ASIAN ALONE OR IN COMBINATION,NA,6160,75 000 to 99 999,13.2
2013,3,ASIAN ALONE OR IN COMBINATION,NA,6160,100 000 to 149 999,17.6
2013,3,ASIAN ALONE OR IN COMBINATION,NA,6160,150 000 to 199 999,8.9
2013,3,ASIAN ALONE OR IN COMBINATION,NA,6160,200 000 and over,13.1
2013,4,ASIAN ALONE OR IN COMBINATION,NA,6111,under 15 000,10.1
2013,4,ASIAN ALONE OR IN COMBINATION,NA,6111,15 000 to 24 999,6.2
2013,4,ASIAN ALONE OR IN COMBINATION,NA,6111,25 000 to 34 999,7.7
2013,4,ASIAN ALONE OR IN COMBINATION,NA,6111,35 000 to 49 999,10.3
2013,4,ASIAN ALONE OR IN COMBINATION,NA,6111,50 000 to 74 999,16.4
2013,4,ASIAN ALONE OR IN COMBINATION,NA,6111,75 000 to 99 999,12.5
2013,4,ASIAN ALONE OR IN COMBINATION,NA,6111,100 000 to 149 999,16.8
2013,4,ASIAN ALONE OR IN COMBINATION,NA,6111,150 000 to 199 999,9.7
2013,4,ASIAN ALONE OR IN COMBINATION,NA,6111,200 000 and over,10.3
2012,NA,ASIAN ALONE OR IN COMBINATION,NA,5872,under 15 000,9.7
2012,NA,ASIAN ALONE OR IN COMBINATION,NA,5872,15 000 to 24 999,6.3
2012,NA,ASIAN ALONE OR IN COMBINATION,NA,5872,25 000 to 34 999,7.4
2012,NA,ASIAN ALONE OR IN COMBINATION,NA,5872,35 000 to 49 999,9.1
2012,NA,ASIAN ALONE OR IN COMBINATION,NA,5872,50 000 to 74 999,17.1
2012,NA,ASIAN ALONE OR IN COMBINATION,NA,5872,75 000 to 99 999,12.4
2012,NA,ASIAN ALONE OR IN COMBINATION,NA,5872,100 000 to 149 999,17.2
2012,NA,ASIAN ALONE OR IN COMBINATION,NA,5872,150 000 to 199 999,9.8
2012,NA,ASIAN ALONE OR IN COMBINATION,NA,5872,200 000 and over,11
2011,NA,ASIAN ALONE OR IN COMBINATION,NA,5705,under 15 000,9.2
2011,NA,ASIAN ALONE OR IN COMBINATION,NA,5705,15 000 to 24 999,8.1
2011,NA,ASIAN ALONE OR IN COMBINATION,NA,5705,25 000 to 34 999,7.5
2011,NA,ASIAN ALONE OR IN COMBINATION,NA,5705,35 000 to 49 999,10.3
2011,NA,ASIAN ALONE OR IN COMBINATION,NA,5705,50 000 to 74 999,15.8
2011,NA,ASIAN ALONE OR IN COMBINATION,NA,5705,75 000 to 99 999,13.3
2011,NA,ASIAN ALONE OR IN COMBINATION,NA,5705,100 000 to 149 999,17.6
2011,NA,ASIAN ALONE OR IN COMBINATION,NA,5705,150 000 to 199 999,8.5
2011,NA,ASIAN ALONE OR IN COMBINATION,NA,5705,200 000 and over,9.7
2010,5,ASIAN ALONE OR IN COMBINATION,NA,5550,under 15 000,9.5
2010,5,ASIAN ALONE OR IN COMBINATION,NA,5550,15 000 to 24 999,7.7
2010,5,ASIAN ALONE OR IN COMBINATION,NA,5550,25 000 to 34 999,6.9
2010,5,ASIAN ALONE OR IN COMBINATION,NA,5550,35 000 to 49 999,9.9
2010,5,ASIAN ALONE OR IN COMBINATION,NA,5550,50 000 to 74 999,16
2010,5,ASIAN ALONE OR IN COMBINATION,NA,5550,75 000 to 99 999,12.5
2010,5,ASIAN ALONE OR IN COMBINATION,NA,5550,100 000 to 149 999,17
2010,5,ASIAN ALONE OR IN COMBINATION,NA,5550,150 000 to 199 999,10.2
2010,5,ASIAN ALONE OR IN COMBINATION,NA,5550,200 000 and over,10.4
2009,6,ASIAN ALONE OR IN COMBINATION,NA,4940,under 15 000,10.3
2009,6,ASIAN ALONE OR IN COMBINATION,NA,4940,15 000 to 24 999,6.4
2009,6,ASIAN ALONE OR IN COMBINATION,NA,4940,25 000 to 34 999,6.9
2009,6,ASIAN ALONE OR IN COMBINATION,NA,4940,35 000 to 49 999,10.5
2009,6,ASIAN ALONE OR IN COMBINATION,NA,4940,50 000 to 74 999,15
2009,6,ASIAN ALONE OR IN COMBINATION,NA,4940,75 000 to 99 999,11.8
2009,6,ASIAN ALONE OR IN COMBINATION,NA,4940,100 000 to 149 999,17.5
2009,6,ASIAN ALONE OR IN COMBINATION,NA,4940,150 000 to 199 999,9.8
2009,6,ASIAN ALONE OR IN COMBINATION,NA,4940,200 000 and over,11.8
2008,NA,ASIAN ALONE OR IN COMBINATION,NA,4805,under 15 000,9.8
2008,NA,ASIAN ALONE OR IN COMBINATION,NA,4805,15 000 to 24 999,6.9
2008,NA,ASIAN ALONE OR IN COMBINATION,NA,4805,25 000 to 34 999,6.7
2008,NA,ASIAN ALONE OR IN COMBINATION,NA,4805,35 000 to 49 999,11
2008,NA,ASIAN ALONE OR IN COMBINATION,NA,4805,50 000 to 74 999,14.5
2008,NA,ASIAN ALONE OR IN COMBINATION,NA,4805,75 000 to 99 999,11.8
2008,NA,ASIAN ALONE OR IN COMBINATION,NA,4805,100 000 to 149 999,18.6
2008,NA,ASIAN ALONE OR IN COMBINATION,NA,4805,150 000 to 199 999,10
2008,NA,ASIAN ALONE OR IN COMBINATION,NA,4805,200 000 and over,10.8
2007,NA,ASIAN ALONE OR IN COMBINATION,NA,4715,under 15 000,8.6
2007,NA,ASIAN ALONE OR IN COMBINATION,NA,4715,15 000 to 24 999,6.6
2007,NA,ASIAN ALONE OR IN COMBINATION,NA,4715,25 000 to 34 999,6.6
2007,NA,ASIAN ALONE OR IN COMBINATION,NA,4715,35 000 to 49 999,9.7
2007,NA,ASIAN ALONE OR IN COMBINATION,NA,4715,50 000 to 74 999,15.4
2007,NA,ASIAN ALONE OR IN COMBINATION,NA,4715,75 000 to 99 999,12.8
2007,NA,ASIAN ALONE OR IN COMBINATION,NA,4715,100 000 to 149 999,19.1
2007,NA,ASIAN ALONE OR IN COMBINATION,NA,4715,150 000 to 199 999,10.7
2007,NA,ASIAN ALONE OR IN COMBINATION,NA,4715,200 000 and over,10.5
2006,NA,ASIAN ALONE OR IN COMBINATION,NA,4664,under 15 000,7.9
2006,NA,ASIAN ALONE OR IN COMBINATION,NA,4664,15 000 to 24 999,6
2006,NA,ASIAN ALONE OR IN COMBINATION,NA,4664,25 000 to 34 999,7
2006,NA,ASIAN ALONE OR IN COMBINATION,NA,4664,35 000 to 49 999,9.4
2006,NA,ASIAN ALONE OR IN COMBINATION,NA,4664,50 000 to 74 999,15.8
2006,NA,ASIAN ALONE OR IN COMBINATION,NA,4664,75 000 to 99 999,13.1
2006,NA,ASIAN ALONE OR IN COMBINATION,NA,4664,100 000 to 149 999,18.1
2006,NA,ASIAN ALONE OR IN COMBINATION,NA,4664,150 000 to 199 999,11.7
2006,NA,ASIAN ALONE OR IN COMBINATION,NA,4664,200 000 and over,11
2005,NA,ASIAN ALONE OR IN COMBINATION,NA,4500,under 15 000,9.1
2005,NA,ASIAN ALONE OR IN COMBINATION,NA,4500,15 000 to 24 999,6.6
2005,NA,ASIAN ALONE OR IN COMBINATION,NA,4500,25 000 to 34 999,6.7
2005,NA,ASIAN ALONE OR IN COMBINATION,NA,4500,35 000 to 49 999,8.7
2005,NA,ASIAN ALONE OR IN COMBINATION,NA,4500,50 000 to 74 999,15.9
2005,NA,ASIAN ALONE OR IN COMBINATION,NA,4500,75 000 to 99 999,13.3
2005,NA,ASIAN ALONE OR IN COMBINATION,NA,4500,100 000 to 149 999,18.8
2005,NA,ASIAN ALONE OR IN COMBINATION,NA,4500,150 000 to 199 999,9.2
2005,NA,ASIAN ALONE OR IN COMBINATION,NA,4500,200 000 and over,11.7
2004,7,ASIAN ALONE OR IN COMBINATION,NA,4346,under 15 000,8.5
2004,7,ASIAN ALONE OR IN COMBINATION,NA,4346,15 000 to 24 999,6.6
2004,7,ASIAN ALONE OR IN COMBINATION,NA,4346,25 000 to 34 999,6.9
2004,7,ASIAN ALONE OR IN COMBINATION,NA,4346,35 000 to 49 999,9.4
2004,7,ASIAN ALONE OR IN COMBINATION,NA,4346,50 000 to 74 999,17.1
2004,7,ASIAN ALONE OR IN COMBINATION,NA,4346,75 000 to 99 999,13.5
2004,7,ASIAN ALONE OR IN COMBINATION,NA,4346,100 000 to 149 999,18.1
2004,7,ASIAN ALONE OR IN COMBINATION,NA,4346,150 000 to 199 999,9.4
2004,7,ASIAN ALONE OR IN COMBINATION,NA,4346,200 000 and over,10.4
2003,NA,ASIAN ALONE OR IN COMBINATION,NA,4235,under 15 000,11.4
2003,NA,ASIAN ALONE OR IN COMBINATION,NA,4235,15 000 to 24 999,7.4
2003,NA,ASIAN ALONE OR IN COMBINATION,NA,4235,25 000 to 34 999,6.4
2003,NA,ASIAN ALONE OR IN COMBINATION,NA,4235,35 000 to 49 999,7.9
2003,NA,ASIAN ALONE OR IN COMBINATION,NA,4235,50 000 to 74 999,15.9
2003,NA,ASIAN ALONE OR IN COMBINATION,NA,4235,75 000 to 99 999,13
2003,NA,ASIAN ALONE OR IN COMBINATION,NA,4235,100 000 to 149 999,18.7
2003,NA,ASIAN ALONE OR IN COMBINATION,NA,4235,150 000 to 199 999,9.2
2003,NA,ASIAN ALONE OR IN COMBINATION,NA,4235,200 000 and over,10
2002,NA,ASIAN ALONE OR IN COMBINATION,NA,4079,under 15 000,8.6
2002,NA,ASIAN ALONE OR IN COMBINATION,NA,4079,15 000 to 24 999,6.6
2002,NA,ASIAN ALONE OR IN COMBINATION,NA,4079,25 000 to 34 999,7.3
2002,NA,ASIAN ALONE OR IN COMBINATION,NA,4079,35 000 to 49 999,11.3
2002,NA,ASIAN ALONE OR IN COMBINATION,NA,4079,50 000 to 74 999,16.7
2002,NA,ASIAN ALONE OR IN COMBINATION,NA,4079,75 000 to 99 999,12.4
2002,NA,ASIAN ALONE OR IN COMBINATION,NA,4079,100 000 to 149 999,18.8
2002,NA,ASIAN ALONE OR IN COMBINATION,NA,4079,150 000 to 199 999,8.8
2002,NA,ASIAN ALONE OR IN COMBINATION,NA,4079,200 000 and over,9.6
2019,NA,ASIAN ALONE,27,6853,under 15 000,6.5
2019,NA,ASIAN ALONE,27,6853,15 000 to 24 999,5
2019,NA,ASIAN ALONE,27,6853,25 000 to 34 999,5.2
2019,NA,ASIAN ALONE,27,6853,35 000 to 49 999,8.7
2019,NA,ASIAN ALONE,27,6853,50 000 to 74 999,12.9
2019,NA,ASIAN ALONE,27,6853,75 000 to 99 999,12.5
2019,NA,ASIAN ALONE,27,6853,100 000 to 149 999,17.9
2019,NA,ASIAN ALONE,27,6853,150 000 to 199 999,12.5
2019,NA,ASIAN ALONE,27,6853,200 000 and over,18.9
2018,NA,ASIAN ALONE,27,6981,under 15 000,8.3
2018,NA,ASIAN ALONE,27,6981,15 000 to 24 999,6.2
2018,NA,ASIAN ALONE,27,6981,25 000 to 34 999,5.9
2018,NA,ASIAN ALONE,27,6981,35 000 to 49 999,8.5
2018,NA,ASIAN ALONE,27,6981,50 000 to 74 999,14
2018,NA,ASIAN ALONE,27,6981,75 000 to 99 999,12
2018,NA,ASIAN ALONE,27,6981,100 000 to 149 999,18.1
2018,NA,ASIAN ALONE,27,6981,150 000 to 199 999,10.3
2018,NA,ASIAN ALONE,27,6981,200 000 and over,16.7
2017,2,ASIAN ALONE,27,6750,under 15 000,7.8
2017,2,ASIAN ALONE,27,6750,15 000 to 24 999,6.4
2017,2,ASIAN ALONE,27,6750,25 000 to 34 999,5.9
2017,2,ASIAN ALONE,27,6750,35 000 to 49 999,9.3
2017,2,ASIAN ALONE,27,6750,50 000 to 74 999,14.7
2017,2,ASIAN ALONE,27,6750,75 000 to 99 999,12.6
2017,2,ASIAN ALONE,27,6750,100 000 to 149 999,16.4
2017,2,ASIAN ALONE,27,6750,150 000 to 199 999,11.4
2017,2,ASIAN ALONE,27,6750,200 000 and over,15.4
2017,NA,ASIAN ALONE,27,6735,under 15 000,8.7
2017,NA,ASIAN ALONE,27,6735,15 000 to 24 999,6.4
2017,NA,ASIAN ALONE,27,6735,25 000 to 34 999,5.7
2017,NA,ASIAN ALONE,27,6735,35 000 to 49 999,9.1
2017,NA,ASIAN ALONE,27,6735,50 000 to 74 999,14.4
2017,NA,ASIAN ALONE,27,6735,75 000 to 99 999,12.8
2017,NA,ASIAN ALONE,27,6735,100 000 to 149 999,16.3
2017,NA,ASIAN ALONE,27,6735,150 000 to 199 999,11.2
2017,NA,ASIAN ALONE,27,6735,200 000 and over,15.6
2016,NA,ASIAN ALONE,27,6392,under 15 000,8.7
2016,NA,ASIAN ALONE,27,6392,15 000 to 24 999,6
2016,NA,ASIAN ALONE,27,6392,25 000 to 34 999,6.2
2016,NA,ASIAN ALONE,27,6392,35 000 to 49 999,7.7
2016,NA,ASIAN ALONE,27,6392,50 000 to 74 999,14.7
2016,NA,ASIAN ALONE,27,6392,75 000 to 99 999,13.4
2016,NA,ASIAN ALONE,27,6392,100 000 to 149 999,16.9
2016,NA,ASIAN ALONE,27,6392,150 000 to 199 999,12.1
2016,NA,ASIAN ALONE,27,6392,200 000 and over,14.4
2015,NA,ASIAN ALONE,27,6328,under 15 000,9.1
2015,NA,ASIAN ALONE,27,6328,15 000 to 24 999,6.4
2015,NA,ASIAN ALONE,27,6328,25 000 to 34 999,6
2015,NA,ASIAN ALONE,27,6328,35 000 to 49 999,9.1
2015,NA,ASIAN ALONE,27,6328,50 000 to 74 999,14.8
2015,NA,ASIAN ALONE,27,6328,75 000 to 99 999,12.2
2015,NA,ASIAN ALONE,27,6328,100 000 to 149 999,16.9
2015,NA,ASIAN ALONE,27,6328,150 000 to 199 999,11.1
2015,NA,ASIAN ALONE,27,6328,200 000 and over,14.4
2014,NA,ASIAN ALONE,27,6040,under 15 000,9.6
2014,NA,ASIAN ALONE,27,6040,15 000 to 24 999,6.5
2014,NA,ASIAN ALONE,27,6040,25 000 to 34 999,7.5
2014,NA,ASIAN ALONE,27,6040,35 000 to 49 999,9.2
2014,NA,ASIAN ALONE,27,6040,50 000 to 74 999,14.1
2014,NA,ASIAN ALONE,27,6040,75 000 to 99 999,12.5
2014,NA,ASIAN ALONE,27,6040,100 000 to 149 999,17.6
2014,NA,ASIAN ALONE,27,6040,150 000 to 199 999,11.4
2014,NA,ASIAN ALONE,27,6040,200 000 and over,11.6
2013,3,ASIAN ALONE,27,5818,under 15 000,9.7
2013,3,ASIAN ALONE,27,5818,15 000 to 24 999,7.3
2013,3,ASIAN ALONE,27,5818,25 000 to 34 999,5
2013,3,ASIAN ALONE,27,5818,35 000 to 49 999,9.6
2013,3,ASIAN ALONE,27,5818,50 000 to 74 999,15.6
2013,3,ASIAN ALONE,27,5818,75 000 to 99 999,12.8
2013,3,ASIAN ALONE,27,5818,100 000 to 149 999,17.9
2013,3,ASIAN ALONE,27,5818,150 000 to 199 999,8.8
2013,3,ASIAN ALONE,27,5818,200 000 and over,13.3
2013,4,ASIAN ALONE,27,5759,under 15 000,10.2
2013,4,ASIAN ALONE,27,5759,15 000 to 24 999,6.4
2013,4,ASIAN ALONE,27,5759,25 000 to 34 999,7.8
2013,4,ASIAN ALONE,27,5759,35 000 to 49 999,10.4
2013,4,ASIAN ALONE,27,5759,50 000 to 74 999,16.3
2013,4,ASIAN ALONE,27,5759,75 000 to 99 999,12.5
2013,4,ASIAN ALONE,27,5759,100 000 to 149 999,16.5
2013,4,ASIAN ALONE,27,5759,150 000 to 199 999,9.8
2013,4,ASIAN ALONE,27,5759,200 000 and over,10.2
2012,NA,ASIAN ALONE,27,5560,under 15 000,9.8
2012,NA,ASIAN ALONE,27,5560,15 000 to 24 999,6.4
2012,NA,ASIAN ALONE,27,5560,25 000 to 34 999,7.3
2012,NA,ASIAN ALONE,27,5560,35 000 to 49 999,9
2012,NA,ASIAN ALONE,27,5560,50 000 to 74 999,16.9
2012,NA,ASIAN ALONE,27,5560,75 000 to 99 999,12.4
2012,NA,ASIAN ALONE,27,5560,100 000 to 149 999,17.4
2012,NA,ASIAN ALONE,27,5560,150 000 to 199 999,9.9
2012,NA,ASIAN ALONE,27,5560,200 000 and over,10.9
2011,NA,ASIAN ALONE,27,5374,under 15 000,9.1
2011,NA,ASIAN ALONE,27,5374,15 000 to 24 999,8
2011,NA,ASIAN ALONE,27,5374,25 000 to 34 999,7.7
2011,NA,ASIAN ALONE,27,5374,35 000 to 49 999,10.1
2011,NA,ASIAN ALONE,27,5374,50 000 to 74 999,15.9
2011,NA,ASIAN ALONE,27,5374,75 000 to 99 999,13.4
2011,NA,ASIAN ALONE,27,5374,100 000 to 149 999,17.8
2011,NA,ASIAN ALONE,27,5374,150 000 to 199 999,8.6
2011,NA,ASIAN ALONE,27,5374,200 000 and over,9.5
2010,5,ASIAN ALONE,27,5212,under 15 000,9.8
2010,5,ASIAN ALONE,27,5212,15 000 to 24 999,7.6
2010,5,ASIAN ALONE,27,5212,25 000 to 34 999,6.8
2010,5,ASIAN ALONE,27,5212,35 000 to 49 999,9.5
2010,5,ASIAN ALONE,27,5212,50 000 to 74 999,15.8
2010,5,ASIAN ALONE,27,5212,75 000 to 99 999,12.4
2010,5,ASIAN ALONE,27,5212,100 000 to 149 999,17.1
2010,5,ASIAN ALONE,27,5212,150 000 to 199 999,10.4
2010,5,ASIAN ALONE,27,5212,200 000 and over,10.7
2009,6,ASIAN ALONE,27,4687,under 15 000,10.3
2009,6,ASIAN ALONE,27,4687,15 000 to 24 999,6.4
2009,6,ASIAN ALONE,27,4687,25 000 to 34 999,6.9
2009,6,ASIAN ALONE,27,4687,35 000 to 49 999,10.2
2009,6,ASIAN ALONE,27,4687,50 000 to 74 999,15
2009,6,ASIAN ALONE,27,4687,75 000 to 99 999,11.9
2009,6,ASIAN ALONE,27,4687,100 000 to 149 999,17.5
2009,6,ASIAN ALONE,27,4687,150 000 to 199 999,10
2009,6,ASIAN ALONE,27,4687,200 000 and over,11.9
2008,NA,ASIAN ALONE,27,4573,under 15 000,9.9
2008,NA,ASIAN ALONE,27,4573,15 000 to 24 999,6.9
2008,NA,ASIAN ALONE,27,4573,25 000 to 34 999,6.7
2008,NA,ASIAN ALONE,27,4573,35 000 to 49 999,10.8
2008,NA,ASIAN ALONE,27,4573,50 000 to 74 999,14.4
2008,NA,ASIAN ALONE,27,4573,75 000 to 99 999,11.8
2008,NA,ASIAN ALONE,27,4573,100 000 to 149 999,18.5
2008,NA,ASIAN ALONE,27,4573,150 000 to 199 999,10.1
2008,NA,ASIAN ALONE,27,4573,200 000 and over,10.8
2007,NA,ASIAN ALONE,27,4494,under 15 000,8.6
2007,NA,ASIAN ALONE,27,4494,15 000 to 24 999,6.7
2007,NA,ASIAN ALONE,27,4494,25 000 to 34 999,6.5
2007,NA,ASIAN ALONE,27,4494,35 000 to 49 999,9.5
2007,NA,ASIAN ALONE,27,4494,50 000 to 74 999,15.5
2007,NA,ASIAN ALONE,27,4494,75 000 to 99 999,12.5
2007,NA,ASIAN ALONE,27,4494,100 000 to 149 999,19.5
2007,NA,ASIAN ALONE,27,4494,150 000 to 199 999,10.6
2007,NA,ASIAN ALONE,27,4494,200 000 and over,10.6
2006,NA,ASIAN ALONE,27,4454,under 15 000,7.9
2006,NA,ASIAN ALONE,27,4454,15 000 to 24 999,6.1
2006,NA,ASIAN ALONE,27,4454,25 000 to 34 999,7.1
2006,NA,ASIAN ALONE,27,4454,35 000 to 49 999,9.3
2006,NA,ASIAN ALONE,27,4454,50 000 to 74 999,15.5
2006,NA,ASIAN ALONE,27,4454,75 000 to 99 999,13.1
2006,NA,ASIAN ALONE,27,4454,100 000 to 149 999,18
2006,NA,ASIAN ALONE,27,4454,150 000 to 199 999,11.7
2006,NA,ASIAN ALONE,27,4454,200 000 and over,11.4
2005,NA,ASIAN ALONE,27,4273,under 15 000,9.2
2005,NA,ASIAN ALONE,27,4273,15 000 to 24 999,6.9
2005,NA,ASIAN ALONE,27,4273,25 000 to 34 999,6.6
2005,NA,ASIAN ALONE,27,4273,35 000 to 49 999,8.5
2005,NA,ASIAN ALONE,27,4273,50 000 to 74 999,15.8
2005,NA,ASIAN ALONE,27,4273,75 000 to 99 999,13.4
2005,NA,ASIAN ALONE,27,4273,100 000 to 149 999,18.7
2005,NA,ASIAN ALONE,27,4273,150 000 to 199 999,9.2
2005,NA,ASIAN ALONE,27,4273,200 000 and over,11.7
2004,7,ASIAN ALONE,27,4123,under 15 000,8.4
2004,7,ASIAN ALONE,27,4123,15 000 to 24 999,6.6
2004,7,ASIAN ALONE,27,4123,25 000 to 34 999,7
2004,7,ASIAN ALONE,27,4123,35 000 to 49 999,9.3
2004,7,ASIAN ALONE,27,4123,50 000 to 74 999,17
2004,7,ASIAN ALONE,27,4123,75 000 to 99 999,13.3
2004,7,ASIAN ALONE,27,4123,100 000 to 149 999,18.3
2004,7,ASIAN ALONE,27,4123,150 000 to 199 999,9.4
2004,7,ASIAN ALONE,27,4123,200 000 and over,10.6
2003,NA,ASIAN ALONE,27,4040,under 15 000,11.6
2003,NA,ASIAN ALONE,27,4040,15 000 to 24 999,7.4
2003,NA,ASIAN ALONE,27,4040,25 000 to 34 999,6.2
2003,NA,ASIAN ALONE,27,4040,35 000 to 49 999,7.8
2003,NA,ASIAN ALONE,27,4040,50 000 to 74 999,15.6
2003,NA,ASIAN ALONE,27,4040,75 000 to 99 999,13.1
2003,NA,ASIAN ALONE,27,4040,100 000 to 149 999,18.6
2003,NA,ASIAN ALONE,27,4040,150 000 to 199 999,9.3
2003,NA,ASIAN ALONE,27,4040,200 000 and over,10.3
2002,NA,ASIAN ALONE,27,3917,under 15 000,8.4
2002,NA,ASIAN ALONE,27,3917,15 000 to 24 999,6.6
2002,NA,ASIAN ALONE,27,3917,25 000 to 34 999,7.2
2002,NA,ASIAN ALONE,27,3917,35 000 to 49 999,11.5
2002,NA,ASIAN ALONE,27,3917,50 000 to 74 999,16.3
2002,NA,ASIAN ALONE,27,3917,75 000 to 99 999,12.5
2002,NA,ASIAN ALONE,27,3917,100 000 to 149 999,18.8
2002,NA,ASIAN ALONE,27,3917,150 000 to 199 999,8.8
2002,NA,ASIAN ALONE,27,3917,200 000 and over,9.8
2001,NA,ASIAN AND PACIFIC ISLANDER,25,4071,under 15 000,8.6
2001,NA,ASIAN AND PACIFIC ISLANDER,25,4071,15 000 to 24 999,6.5
2001,NA,ASIAN AND PACIFIC ISLANDER,25,4071,25 000 to 34 999,6.7
2001,NA,ASIAN AND PACIFIC ISLANDER,25,4071,35 000 to 49 999,10.2
2001,NA,ASIAN AND PACIFIC ISLANDER,25,4071,50 000 to 74 999,16.4
2001,NA,ASIAN AND PACIFIC ISLANDER,25,4071,75 000 to 99 999,13.5
2001,NA,ASIAN AND PACIFIC ISLANDER,25,4071,100 000 to 149 999,18.2
2001,NA,ASIAN AND PACIFIC ISLANDER,25,4071,150 000 to 199 999,9.7
2001,NA,ASIAN AND PACIFIC ISLANDER,25,4071,200 000 and over,10.3
2000,8,ASIAN AND PACIFIC ISLANDER,25,3963,under 15 000,7.7
2000,8,ASIAN AND PACIFIC ISLANDER,25,3963,15 000 to 24 999,6
2000,8,ASIAN AND PACIFIC ISLANDER,25,3963,25 000 to 34 999,6.1
2000,8,ASIAN AND PACIFIC ISLANDER,25,3963,35 000 to 49 999,10.4
2000,8,ASIAN AND PACIFIC ISLANDER,25,3963,50 000 to 74 999,15.9
2000,8,ASIAN AND PACIFIC ISLANDER,25,3963,75 000 to 99 999,13.4
2000,8,ASIAN AND PACIFIC ISLANDER,25,3963,100 000 to 149 999,19.3
2000,8,ASIAN AND PACIFIC ISLANDER,25,3963,150 000 to 199 999,10.3
2000,8,ASIAN AND PACIFIC ISLANDER,25,3963,200 000 and over,10.9
1999,9,ASIAN AND PACIFIC ISLANDER,25,3742,under 15 000,8.5
1999,9,ASIAN AND PACIFIC ISLANDER,25,3742,15 000 to 24 999,7
1999,9,ASIAN AND PACIFIC ISLANDER,25,3742,25 000 to 34 999,5.8
1999,9,ASIAN AND PACIFIC ISLANDER,25,3742,35 000 to 49 999,10.4
1999,9,ASIAN AND PACIFIC ISLANDER,25,3742,50 000 to 74 999,16.7
1999,9,ASIAN AND PACIFIC ISLANDER,25,3742,75 000 to 99 999,12.6
1999,9,ASIAN AND PACIFIC ISLANDER,25,3742,100 000 to 149 999,17.4
1999,9,ASIAN AND PACIFIC ISLANDER,25,3742,150 000 to 199 999,9.3
1999,9,ASIAN AND PACIFIC ISLANDER,25,3742,200 000 and over,12.3
1998,NA,ASIAN AND PACIFIC ISLANDER,25,3308,under 15 000,8.7
1998,NA,ASIAN AND PACIFIC ISLANDER,25,3308,15 000 to 24 999,7.5
1998,NA,ASIAN AND PACIFIC ISLANDER,25,3308,25 000 to 34 999,6.7
1998,NA,ASIAN AND PACIFIC ISLANDER,25,3308,35 000 to 49 999,11.3
1998,NA,ASIAN AND PACIFIC ISLANDER,25,3308,50 000 to 74 999,17
